Typ,Pohlaví,ID,Hráč,Oddíl,STR,STR změna
ranking,M,28895,Širuček Pavel,"HB Ostrov , z.s.",2516,
ranking,M,39045,Reitšpies David,Stavební fakulta SK Kotlářka El Niňo Praha,2501,
ranking,M,42375,Polanský Tomáš,"HB Ostrov , z.s.",2485,
ranking,M,51123,Martinko Jiří,Sportovní klub stolního tenisu Chodov z. s.,2464,
ranking,M,35721,Gavlas Antonín ml.,Sportovní klub stolního tenisu Chodov z. s.,2457,
ranking,M,11893,Konečný Tomáš,Stavební fakulta SK Kotlářka El Niňo Praha,2453,
ranking,M,79651,Zelinka Jakub,Sportovní klub stolního tenisu Chodov z. s.,2415,
ranking,M,72964,Gómez Alejandro Gustavo,Sportovní klub stolního tenisu Havířov z.s.,2411,
ranking,M,50716,Onderka František,TJ Sokol PP Hradec Králové 2,2408,
ranking,M,44508,Klos Patrik,Tělovýchovná jednota Ostrava,2388,
ranking,Z,52519,Blašková Zdena,"HB Ostrov , z.s.",2122,
ranking,Z,85945,Li Sian Chang Alice,"TT Moravský Krumlov, z.s.",2120,
ranking,Z,33486,Grofová Karin,SKST Hodonín z.s.,2116,
ranking,Z,372,Ševčíková Markéta,SKST Hodonín z.s.,2107,
ranking,Z,85795,Michalak Aleksandra,"HB Ostrov , z.s.",2096,
ranking,Z,38743,Tomanová Tamara,Tělovýchovná jednota Ostrava,2061,
ranking,Z,55780,Kubátová Hana,Tělovýchovná jednota Ostrava,2042,
ranking,Z,68815,Poláková Veronika ml.,"HB Ostrov , z.s.",2025,
ranking,Z,72136,Chernyavskaya Ekaterina,"TT Moravský Krumlov, z.s.",2013,
ranking,Z,54067,Petrovová Nikita,Tělovýchovná jednota Ostrava,2012,
movers,M,91669,Řáha Václav,"KOC - Sušice, stolní tenis, z.s.",,228
movers,M,76988,Slanina Arnošt,TJ SDH Nové Dvory,,63
movers,M,87449,Chamrád David,"TJ Sokol Horní Lhota, z.s.",,58
movers,M,86208,Švehelka David,"Akademie stolního tenisu Petra Korbela, z.s.",,45
movers,M,87815,Havránek Tomáš,"Table Tennis Club Litoměřice, z.s.",,44
movers,M,62525,Losos Marek,"TJ VS Tábor, z.s.",,44
movers,M,86238,Mikan Alexandr,TJ Sokol Chrudim,,43
movers,M,69097,Slanec Roman,"SK Podhradí Choustník, z.s.",,41
movers,M,91178,Ramík Antonín,Tělovýchovná jednota Ostrava,,41
movers,M,80219,Chalupa Roman,TTC Roudnice,,41
movers,Z,63705,Ratajská Linda,Klub stolního tenisu Olomouc z.s.,,31
movers,Z,88351,Fialová Kateřina,TJ Sokol Březnice,,29
movers,Z,42537,Demjanová Eliška,Klub stolního tenisu Jirkov z.s.,,28
movers,Z,61720,Charvátová Alena,OÚ Výškov,,24
movers,Z,80111,Samková Veronika,Tělocvičná jednota Sokol Česká Skalice,,24
movers,Z,92644,Němcová Lenka,"Klub přátel školy při Střední průmyslové škole Zengrova 1, Ostrava-Vítkovice, z.s.",,22
movers,Z,58457,Vašendová Jana,Klub stolního tenisu Olomouc z.s.,,22
movers,Z,38743,Tomanová Tamara,Tělovýchovná jednota Ostrava,,18
movers,Z,68813,Holejšovská Anna,"SK Kotlářka, z.s.",,18
movers,Z,82780,Svobodová Martina,Table Tennis Club Ústí nad Orlicí z. s.,,17
