Sezóna,Všichni,Muži,Ženy,Skokani muži,Skokani ženy,Medián věku všichni,Medián věku muži,Medián věku ženy
2012,11734,10897,837,0,0,39.0,40.0,23.0
2013,13200,12284,916,9205,645,40.0,41.0,24.0
2014,13901,12935,966,10412,713,41.0,41.0,24.0
2015,16363,15310,1053,11163,748,42.0,42.0,24.0
2016,16741,15609,1132,13017,816,42.0,43.0,24.0
2017,17507,16337,1170,13260,820,43.0,44.0,24.5
2018,17975,16749,1226,13729,825,44.0,44.0,24.0
2019,18349,17067,1282,14082,823,44.0,45.0,23.0
2020,18392,17060,1332,13881,799,44.0,45.0,22.0
2021,8606,7986,620,7228,490,45.0,46.0,25.0
2022,17488,16294,1194,7105,466,46.0,47.0,24.0
2023,17543,16311,1232,13127,747,46.0,47.0,23.0
2024,17872,16585,1287,13238,784,46.0,47.0,23.0
2025,17910,16551,1359,13227,816,47.0,48.0,23.0
2026,18148,16767,1381,13429,885,47.0,48.0,23.0
2027,1722,1590,132,1392,93,47.0,49.0,24.0
