ID,2013 Pořadí skokani,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie
56502,1,1,1,1,33,5,14,3,963,132,83,20,,,,,,,,,1024,104,161,22,110,5,110,5,,,,,,,,,,,,,,,,,,,,,,,,,1941,200,1941,200
49349,2,1,2,1,356,39,35,7,417,42,60,9,364,34,72,12,262,20,76,11,40,7,30,6,483,49,483,49,341,44,341,44,,,,,,,,,2237,30,2237,30,,,,,,,,,,,,
4964,3,1,3,1,,,,,,,,,1666,230,1666,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41578,4,2,1,1,114,22,28,5,10,3,6,3,139,19,47,12,647,98,91,26,1523,165,186,26,70,7,42,7,,,,,,,,,136,27,136,27,1562,166,1562,166,,,,,,,,,,,,
36627,5,2,5,2,1396,201,1396,201,1548,223,1548,223,1266,179,1266,179,377,51,377,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11247,6,2,6,2,482,52,482,52,309,31,309,31,1538,69,1538,69,562,74,562,74,1557,196,1557,196,800,89,800,89,1480,168,1480,168,,,,,,,,,,,,,1279,145,1279,145,1027,108,1027,108,2169,242,2169,242
4972,7,1,7,1,684,39,684,39,1501,64,1501,64,1068,40,1068,40,1727,80,1727,80,1817,81,1817,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48617,8,3,4,2,241,43,53,14,617,92,94,23,163,22,57,13,1525,221,1525,221,111,17,111,17,1998,250,1998,250,539,69,539,69,999,112,999,112,360,53,360,53,496,71,496,71,820,100,820,100,2234,266,2234,266,1383,168,1383,168
18635,9,1,9,1,783,61,783,61,341,28,341,28,339,29,339,29,1368,104,1368,104,199,14,199,14,1820,137,1820,137,817,68,817,68,933,79,933,79,1405,130,1405,130,1267,102,1267,102,1641,115,1641,115,1292,105,1292,105,1237,83,1237,83
53326,10,1,10,1,1132,53,1132,53,617,28,617,28,1304,52,1304,52,846,32,846,32,1523,77,1523,77,2040,104,2040,104,717,36,717,36,971,57,971,57,360,13,360,13,741,35,741,35,1705,98,1705,98,907,56,907,56,2255,142,2255,142
