ID,2013 Pořadí skokani,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie,2027 Pořadí skokani,2027 Pořadí skokani kraj,2027 Pořadí skokani kategorie,2027 Pořadí skokani kraj kategorie
41223,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36498,2,1,1,1,30,10,7,2,19,5,5,2,68,11,14,4,3,2,1,1,90,21,,,54,13,,,97,30,,,95,27,,,,,,,,,,,,,,,,,,,,,,,,,,
21262,3,1,,,42,11,,,30,9,,,70,15,,,34,8,,,31,5,,,43,8,,,51,3,,,49,3,,,69,3,,,97,5,,,72,4,,,90,8,,,123,9,,,,,,
39530,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30242,5,1,,,52,13,,,39,11,,,58,13,,,54,11,,,74,16,,,26,4,,,84,11,,,78,8,,,,,,,,,,,,,,,,,,,,,,,,,,
29279,6,2,,,57,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,
14119,7,2,,,22,2,,,71,4,,,,,,,38,3,,,62,12,,,,,,,,,,,,,,,,,,,,,,,82,9,,,161,20,,,,,,,,,,
51780,7,2,,,55,16,,,47,8,,,80,15,,,,,,,,,,,,,,,15,8,,,72,20,,,78,25,,,107,33,,,126,31,,,,,,,,,,,,,,
19656,9,1,,,40,5,,,,,,,,,,,,,,,20,3,,,72,7,,,31,2,,,46,3,,,45,12,,,59,13,,,94,22,,,81,12,,,169,30,,,,,,
25899,10,3,,,28,9,,,32,4,,,5,3,,,54,10,,,16,4,,,43,6,,,71,3,,,35,7,,,87,12,,,86,28,,,,,,,,,,,55,13,,,,,,
39553,11,3,2,1,14,6,6,3,60,14,9,4,6,1,3,1,7,1,2,1,92,20,,,78,16,,,,,,,,,,,,,,,,,,,,,,,,,,,140,4,,,,,,
11893,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,17,,,73,11,,,128,24,,,12,4,,
32604,13,3,3,1,,,,,,,,,41,3,,,45,5,,,77,17,,,3,1,,,35,7,,,102,11,,,89,4,,,53,6,,,98,12,,,81,7,,,10,2,,,,,,
40128,14,2,3,1,49,7,8,2,4,2,4,2,43,4,11,2,34,3,,,55,3,,,58,6,,,21,3,,,78,2,,,17,1,,,93,3,,,56,4,,,51,1,,,166,7,,,2,1,,
28662,15,4,5,2,2,1,,,51,4,,,18,2,,,68,5,,,41,1,,,30,3,,,101,4,,,40,1,,,70,2,,,13,2,,,33,5,,,137,16,,,86,12,,,,,,
48172,16,5,,,9,4,,,37,10,,,57,12,,,32,6,,,53,10,,,76,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19657,17,5,,,55,16,,,10,4,,,69,12,,,11,4,,,27,7,,,78,19,,,97,30,,,106,33,,,,,,,4,1,,,133,35,,,88,21,,,80,17,,,,,,
50852,1,1,,,3,3,,,1,1,,,2,2,,,3,3,,,3,3,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30241,17,6,,,,,,,,,,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32321,19,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,105,16,,,57,6,,,101,8,,,69,8,,,,,,,,,,,,,,,,,,
11248,20,7,,,38,9,,,23,5,,,28,6,,,62,13,,,49,9,,,43,8,,,31,6,,,46,3,,,,,,,,,,,,,,,110,18,,,170,31,,,,,,
45258,20,1,,,62,3,,,21,1,,,72,5,,,78,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,5,,,,,,,,,,
42350,22,3,,,14,2,,,33,4,,,62,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39045,22,8,3,2,7,2,4,1,57,13,8,3,30,7,9,4,11,3,4,3,30,4,,,,,,,,,,,,,,,,,,,74,2,,,119,10,,,65,10,,,20,6,,,14,5,,
14598,22,4,,,59,4,,,,,,,64,5,,,,,,,68,16,,,85,9,,,4,1,,,53,5,,,115,12,,,,,,,86,10,,,159,18,,,,,,,,,,
31356,25,9,,,8,3,,,5,1,,,30,1,,,42,14,,,68,14,,,52,12,,,51,1,,,23,2,,,61,7,,,68,4,,,112,9,,,168,12,,,154,9,,,2,1,,
52744,2,2,,,1,1,,,2,2,,,1,1,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52522,26,1,,,25,3,,,41,7,,,74,12,,,10,1,,,40,8,,,66,10,,,,,,,,,,,,,,,,,,,,,,,,,,,85,5,,,,,,
14825,27,2,,,51,3,,,8,3,,,56,5,,,,,,,,,,,,,,,47,3,,,6,1,,,90,5,,,69,3,,,95,6,,,73,5,,,123,6,,,,,,
54687,28,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,20,,,,,,,,,,,,,,
28412,29,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,30,10,,,30,7,,,64,16,,,,,,,,,,,80,19,,,32,7,,,92,14,,,,,,,,,,,113,26,,,,,,,,,,,,,,,,,,
2465,30,2,,,45,2,,,57,5,,,70,4,,,50,4,,,,,,,,,,,29,5,,,,,,,,,,,60,2,,,76,6,,,67,2,,,165,6,,,,,,
51919,32,2,,,43,6,,,34,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42378,32,4,,,48,6,,,34,5,,,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,1,,,38,2,,,38,3,,,,,,
10564,32,2,,,28,5,,,36,6,,,33,2,,,39,3,,,44,2,,,40,2,,,61,5,,,40,7,,,56,6,,,128,10,,,17,3,,,125,8,,,97,4,,,,,,
41435,35,11,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4615,35,8,,,30,10,,,27,6,,,79,14,,,,,,,,,,,,,,,27,10,,,57,14,,,76,24,,,60,23,,,16,4,,,150,39,,,172,33,,,,,,
4799,37,4,,,20,2,,,13,2,,,21,6,,,72,12,,,1,1,,,82,11,,,89,6,,,72,10,,,46,9,,,93,10,,,51,7,,,58,9,,,,,,,,,,
29095,38,5,,,44,7,,,62,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33484,39,9,5,2,53,15,10,4,6,2,5,2,41,7,,,19,7,,,82,18,,,,,,,,,,,,,,,,,,,,,,,48,3,,,104,4,,,,,,,,,,
23103,40,2,,,46,1,,,31,1,,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42038,40,12,,,,,,,25,6,,,45,8,,,31,5,,,59,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4056,42,10,,,33,12,,,56,11,,,40,6,,,27,9,,,49,11,,,69,16,,,66,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55780,3,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,,5,1,,,4,2,,,2,1,,,4,2,,,6,1,,,7,2,,,8,3,,,4,2,,
4004,43,6,,,,,,,,,,,23,7,,,36,7,,,83,10,,,21,3,,,40,2,,,72,10,,,109,15,,,,,,,,,,,26,3,,,69,6,,,,,,
11456,44,6,,,47,3,,,55,1,,,,,,,,,,,38,8,,,,,,,,,,,,,,,,,,,,,,,,,,,99,10,,,46,5,,,,,,
2198,45,7,,,,,,,,,,,39,2,,,8,1,,,15,1,,,75,1,,,40,1,,,109,4,,,50,3,,,77,2,,,63,3,,,152,5,,,128,4,,,,,,
20287,46,11,,,23,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38107,46,11,,,,,,,,,,,49,10,,,51,6,,,13,4,,,95,14,,,10,4,,,72,7,,,94,6,,,35,4,,,140,19,,,96,8,,,113,17,,,,,,
28895,48,3,10,1,4,1,,,51,3,,,58,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,6,,,81,4,,,97,4,,,40,3,,
38808,49,13,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3216,50,4,,,10,1,,,41,3,,,30,1,,,76,5,,,62,4,,,64,7,,,83,2,,,57,4,,,85,5,,,117,12,,,51,11,,,108,27,,,,,,,,,,
44728,51,13,,,5,3,,,54,10,,,58,9,,,5,3,,,72,16,,,62,15,,,54,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35564,52,14,6,3,,,,,,,,,,,,,59,12,,,16,5,,,82,20,,,24,9,,,6,3,,,103,29,,,118,35,,,130,32,,,137,34,,,,,,,,,,
14694,53,5,,,19,3,,,21,4,,,36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41833,53,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4927,55,1,,,39,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49658,56,14,,,,,,,,,,,,,,,42,1,,,47,2,,,53,5,,,86,4,,,,,,,,,,,74,1,,,,,,,,,,,,,,,,,,
3595,57,15,,,,,,,62,15,,,,,,,,,,,47,8,,,58,12,,,95,15,,,,,,,49,13,,,99,22,,,41,12,,,61,8,,,116,23,,,45,11,,
42375,,,,,1,1,1,1,2,1,1,1,8,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,7,,,,,,,,,,
56502,,,,,3,2,2,1,44,7,6,3,,,,,,,,,45,7,12,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,157,28,,,,,,
