ID,2012 Kraj,2013 Kraj,2014 Kraj,2015 Kraj,2016 Kraj,2017 Kraj,2018 Kraj,2019 Kraj,2020 Kraj,2021 Kraj,2022 Kraj,2023 Kraj,2024 Kraj,2025 Kraj,2026 Kraj,2012 pořadí kraj,2013 pořadí kraj,2014 pořadí kraj,2015 pořadí kraj,2016 pořadí kraj,2017 pořadí kraj,2018 pořadí kraj,2019 pořadí kraj,2020 pořadí kraj,2021 pořadí kraj,2022 pořadí kraj,2023 pořadí kraj,2024 pořadí kraj,2025 pořadí kraj,2026 pořadí kraj,2012 pořadí kategorie,2013 pořadí kategorie,2014 pořadí kategorie,2015 pořadí kategorie,2016 pořadí kategorie,2017 pořadí kategorie,2018 pořadí kategorie,2019 pořadí kategorie,2020 pořadí kategorie,2021 pořadí kategorie,2022 pořadí kategorie,2023 pořadí kategorie,2024 pořadí kategorie,2025 pořadí kategorie,2026 pořadí kategorie,2012 pořadí kraj kategorie,2013 pořadí kraj kategorie,2014 pořadí kraj kategorie,2015 pořadí kraj kategorie,2016 pořadí kraj kategorie,2017 pořadí kraj kategorie,2018 pořadí kraj kategorie,2019 pořadí kraj kategorie,2020 pořadí kraj kategorie,2021 pořadí kraj kategorie,2022 pořadí kraj kategorie,2023 pořadí kraj kategorie,2024 pořadí kraj kategorie,2025 pořadí kraj kategorie,2026 pořadí kraj kategorie,2013 Pořadí skokani kraj,2013 Pořadí skokani kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani kraj,2014 Pořadí skokani kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani kraj,2015 Pořadí skokani kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani kraj,2016 Pořadí skokani kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani kraj,2017 Pořadí skokani kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani kraj,2018 Pořadí skokani kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani kraj,2019 Pořadí skokani kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani kraj,2020 Pořadí skokani kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani kraj,2021 Pořadí skokani kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani kraj,2022 Pořadí skokani kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani kraj,2023 Pořadí skokani kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani kraj,2024 Pořadí skokani kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani kraj,2025 Pořadí skokani kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani kraj,2026 Pořadí skokani kategorie,2026 Pořadí skokani kraj kategorie
2,Středočeský SST,Středočeský SST,,,,,,,,,,,,,,1622,1662,,,,,,,,,,,,,,10117,11109,,,,,,,,,,,,,,1622,1662,,,,,,,,,,,,,,442,2626,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,Středočeský SST,Středočeský SST,Středočeský SST,,Středočeský SST,Středočeský SST,Středočeský SST,,,,,,,,,971,1178,1299,,1524,1596,1510,,,,,,,,,7234,8401,9145,,10431,10759,10411,,,,,,,,,971,1178,1299,,1524,1596,1510,,,,,,,,,,,,,,,,,,,,,1995,12953,1995,1961,12266,1961,,,,,,,1639,10406,1639,706,4626,706,,,,,,
15,,,,,,,Středočeský SST,,Středočeský SST,,,,,,,,,,,,,1953,,2206,,,,,,,,,,,,,13292,,14259,,,,,,,,,,,,,1953,,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,Středočeský SST,,,Středočeský SST,,,,,,Středočeský SST,Středočeský SST,Středočeský SST,,,,2187,,,2012,,,,,,1850,1730,1701,,,,15138,,,13635,,,,,,12346,11785,11608,,,,2187,,,2012,,,,,,1850,1730,1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557,3691,557,865,5557,865
18,Pražský SST,Pražský SST,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,KSST Vysočina,,KSST Vysočina,KSST Vysočina,,,,12,14,4,6,4,4,1,4,4,,7,12,,,,86,84,87,95,77,90,61,86,113,,113,129,,,,12,14,4,6,4,4,1,4,4,,7,12,,,,45,225,45,14,472,14,23,601,23,4,134,4,26,503,26,3,89,3,35,763,35,35,717,35,,,,,,,36,650,36,,,,,,,,,
21,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,25,28,23,23,25,34,32,36,45,38,37,41,33,38,42,156,166,123,137,173,219,231,251,298,223,234,235,219,242,287,25,28,23,23,25,34,32,36,45,38,37,41,33,38,42,62,301,62,10,108,10,96,593,96,98,661,98,107,740,107,57,463,57,89,610,89,97,707,97,87,441,87,19,105,19,49,363,49,23,262,23,91,656,91,110,804,110
22,,,,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,KSST Zlínský,,,,,61,70,73,80,102,,136,144,108,115,121,,,,,1093,1242,1288,1434,1628,,2324,2370,1773,1929,2225,,,,,61,70,73,80,102,,136,144,108,115,121,,,,,,,,,,,,,423,8539,423,450,7070,450,519,8605,519,559,9664,559,,,,,,,361,6864,361,91,1787,91,486,8949,486,548,10119,548
23,,,,,,,,Pražský SST,,,,,Pražský SST,Pražský SST,Pražský SST,,,,,,,,928,,,,,384,275,310,,,,,,,,16820,,,,,4266,2622,3095,,,,,,,,928,,,,,384,275,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,604,52,727,10965,727
33,Pražský SST,Pražský SST,Pražský SST,Pražský SST,,,,,,,,,,,,77,70,85,101,,,,,,,,,,,,730,558,687,807,,,,,,,,,,,,77,70,85,101,,,,,,,,,,,,118,1371,118,587,7937,587,457,6610,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,Pražský SST,,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,Středočeský SST,18,18,18,19,17,25,23,22,21,,22,16,22,19,17,112,104,106,109,112,157,173,182,177,,179,128,139,163,166,18,18,18,19,17,25,23,22,21,,22,16,22,19,17,29,162,29,91,497,91,67,429,67,76,456,76,111,756,111,82,550,82,64,427,64,42,346,42,,,,,,,18,123,18,61,419,61,103,741,103,70,464,70
