ID,2012 pořadí kategorie,2013 pořadí kategorie,2014 pořadí kategorie,2015 pořadí kategorie,2016 pořadí kategorie,2017 pořadí kategorie,2018 pořadí kategorie,2019 pořadí kategorie,2020 pořadí kategorie,2021 pořadí kategorie,2022 pořadí kategorie,2023 pořadí kategorie,2024 pořadí kategorie,2025 pořadí kategorie,2026 pořadí kategorie,2013 Pořadí skokani kategorie,2014 Pořadí skokani kategorie,2015 Pořadí skokani kategorie,2016 Pořadí skokani kategorie,2017 Pořadí skokani kategorie,2018 Pořadí skokani kategorie,2019 Pořadí skokani kategorie,2020 Pořadí skokani kategorie,2021 Pořadí skokani kategorie,2022 Pořadí skokani kategorie,2023 Pořadí skokani kategorie,2024 Pořadí skokani kategorie,2025 Pořadí skokani kategorie,2026 Pořadí skokani kategorie
271,243,174,,,,,,,,,,,,,,129,,,,,,,,,,,,,
317,203,198,473,,,,,,,,,,,,,474,1185,,,,,,,,,,,,
327,11,2,11,,14,12,,,,,,,,,,8,70,,,146,,,,,,,,,
330,113,185,190,404,351,,,,,,,,,,,510,858,1571,746,,,,,,,,,,
333,28,21,62,48,81,102,,,,,,,,,,437,1008,578,1538,1676,,,,,,,,,
346,1,4,4,7,7,10,13,,,,,,,,,5,113,142,228,77,285,,,,,,,,
352,3,8,4,10,14,39,28,38,46,56,66,,,,,35,18,223,431,865,404,574,1221,658,640,,,,
372,14,4,9,4,6,5,5,4,,,,,,,,3,22,60,70,88,117,161,,,,,,,
556,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,313,345,,,,,,,,,,,,,,1254,,,,,,,,,,,,,
1769,374,291,399,502,,,,,,,,,,,,219,666,1439,,,,,,,,,,,
1779,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5794,,,,,1944,,,,,,,,,,,,,,,,,,,,,,,,
6887,91,206,146,313,298,305,261,302,275,,,,,,,167,143,545,802,146,663,779,916,,,,,,
10104,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
