Sezóna,Pohlaví,Kraj,Kategorie,Počet hráčů,Počet skokanů 800,Počet skokanů 1200,Počet skokanů 1600,Počet skokanů 2000
2012,M,,dospělí,10897,,,,
2012,Z,,dospělí,837,,,,
2013,M,,dospělí,12284,9205,6885,1357,57
2013,Z,,dospělí,916,645,379,59,3
2014,M,,dospělí,12935,10412,7667,1440,62
2014,Z,,dospělí,966,713,398,61,3
2015,M,,dospělí,15310,11163,8062,1578,71
2015,Z,,dospělí,1053,748,410,66,3
2016,M,,dospělí,15609,13017,9140,1768,81
2016,Z,,dospělí,1132,816,434,65,2
2017,M,,dospělí,16337,13260,9278,1873,78
2017,Z,,dospělí,1170,820,449,80,3
2018,M,,dospělí,16749,13729,9542,1985,92
2018,Z,,dospělí,1226,825,450,87,4
2019,M,,dospělí,17067,14082,9715,2093,101
2019,Z,,dospělí,1282,823,449,85,5
2020,M,,dospělí,17060,13881,9623,2191,111
2020,Z,,dospělí,1332,799,443,101,5
2021,M,,dospělí,7986,7228,5523,1706,110
2021,Z,,dospělí,620,490,307,85,7
2022,M,,dospělí,16294,7105,5426,1700,116
2022,Z,,dospělí,1194,466,297,78,5
2023,M,,dospělí,16311,13127,9246,2309,134
2023,Z,,dospělí,1232,747,422,106,6
2024,M,,dospělí,16585,13238,9269,2407,147
2024,Z,,dospělí,1287,784,453,111,9
2025,M,,dospělí,16551,13227,9197,2502,170
2025,Z,,dospělí,1359,816,461,120,12
2026,M,,dospělí,16767,13429,9303,2560,181
2026,Z,,dospělí,1381,885,479,125,13
2027,M,,dospělí,1590,1392,950,300,48
2027,Z,,dospělí,132,93,59,31,11
2012,M,KSST Jihomoravský,dospělí,1231,,,,
2012,M,KSST Jihočeský,dospělí,1072,,,,
2012,M,KSST Karlovarský,dospělí,211,,,,
2012,M,KSST Kralovéhradecký,dospělí,1268,,,,
2012,M,KSST Liberecký,dospělí,520,,,,
2012,M,KSST Olomoucký,dospělí,722,,,,
2012,M,KSST Pardubický,dospělí,648,,,,
2012,M,KSST Plzeňský,dospělí,803,,,,
2012,M,KSST Vysočina,dospělí,796,,,,
2012,M,KSST Zlínský,dospělí,37,,,,
2012,M,KSST Ústecký,dospělí,49,,,,
2012,M,Moravskoslezský SST,dospělí,893,,,,
2012,M,Pražský SST,dospělí,904,,,,
2012,M,Středočeský SST,dospělí,1743,,,,
2012,Z,KSST Jihomoravský,dospělí,102,,,,
2012,Z,KSST Jihočeský,dospělí,63,,,,
2012,Z,KSST Karlovarský,dospělí,13,,,,
2012,Z,KSST Kralovéhradecký,dospělí,97,,,,
2012,Z,KSST Liberecký,dospělí,29,,,,
2012,Z,KSST Olomoucký,dospělí,49,,,,
2012,Z,KSST Pardubický,dospělí,60,,,,
2012,Z,KSST Plzeňský,dospělí,85,,,,
2012,Z,KSST Vysočina,dospělí,21,,,,
2012,Z,KSST Zlínský,dospělí,5,,,,
2012,Z,KSST Ústecký,dospělí,17,,,,
2012,Z,Moravskoslezský SST,dospělí,62,,,,
2012,Z,Pražský SST,dospělí,146,,,,
2012,Z,Středočeský SST,dospělí,88,,,,
2013,M,KSST Jihomoravský,dospělí,1768,1009,789,192,8
2013,M,KSST Jihočeský,dospělí,1029,890,614,68,2
2013,M,KSST Karlovarský,dospělí,215,171,141,23,
2013,M,KSST Kralovéhradecký,dospělí,1274,1094,737,108,6
