ID,2012 pořadí kraj kategorie,2013 pořadí kraj kategorie,2014 pořadí kraj kategorie,2015 pořadí kraj kategorie,2016 pořadí kraj kategorie,2017 pořadí kraj kategorie,2018 pořadí kraj kategorie,2019 pořadí kraj kategorie,2020 pořadí kraj kategorie,2021 pořadí kraj kategorie,2022 pořadí kraj kategorie,2023 pořadí kraj kategorie,2024 pořadí kraj kategorie,2025 pořadí kraj kategorie,2026 pořadí kraj kategorie,2027 pořadí kraj kategorie,2013 Pořadí skokani kraj kategorie,2014 Pořadí skokani kraj kategorie,2015 Pořadí skokani kraj kategorie,2016 Pořadí skokani kraj kategorie,2017 Pořadí skokani kraj kategorie,2018 Pořadí skokani kraj kategorie,2019 Pořadí skokani kraj kategorie,2020 Pořadí skokani kraj kategorie,2021 Pořadí skokani kraj kategorie,2022 Pořadí skokani kraj kategorie,2023 Pořadí skokani kraj kategorie,2024 Pořadí skokani kraj kategorie,2025 Pořadí skokani kraj kategorie,2026 Pořadí skokani kraj kategorie,2027 Pořadí skokani kraj kategorie
271,34,29,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,
317,30,26,70,,,,,,,,,,,,,,75,215,,,,,,,,,,,,,
327,5,2,6,,6,7,,,,,,,,,,,3,16,,,25,,,,,,,,,,
330,21,27,28,53,49,,,,,,,,,,,,82,149,309,120,,,,,,,,,,,
333,5,4,9,5,10,13,,,,,,,,,,,72,178,102,235,256,,,,,,,,,,
346,1,2,2,2,4,5,7,,,,,,,,,,2,27,20,38,11,41,,,,,,,,,
352,1,2,1,2,3,5,3,3,2,3,2,,,,,,8,3,34,70,133,62,81,166,80,85,,,,,
372,7,3,5,1,3,3,3,2,,,,,,,,,1,2,2,7,14,15,19,,,,,,,,
556,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,46,48,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,
1769,51,42,55,67,,,,,,,,,,,,,40,114,274,,,,,,,,,,,,
1779,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5794,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,
6887,17,35,22,40,41,33,32,34,32,,,,,,,,35,26,94,126,19,97,107,115,,,,,,,
