Typ,Kategorie,STR minimum,Pořadí,ID,Hráč,Pohlaví,Oddíl,Sezóna,STR,STR změna
highest_str,,,1,28895,Širuček Pavel,M,"HB Ostrov , z.s.",2026,2526,
highest_str,,,2,39045,Reitšpies David,M,Stavební fakulta SK Kotlářka El Niňo Praha,2027,2501,
highest_str,,,3,42375,Polanský Tomáš,M,"HB Ostrov , z.s.",2027,2485,
highest_str,,,1,52744,Pěnkavová Kateřina,Z,SKST Hodonín z.s.,2016,2186,
highest_str,,,2,69900,Partyka Natalia,Z,SKST Hodonín z.s.,2020,2178,
highest_str,,,3,88791,Mukherjee Sagarika,Z,"TT Moravský Krumlov, z.s.",2026,2157,
category_highest_str,U21,,1,28895,Širuček Pavel,M,Tělocvičná jednota Sokol Králův Dvůr,2012,2409,
category_highest_str,U21,,2,59845,Brhel Štěpán,M,Sportovní klub stolního tenisu Havířov z.s.,2026,2366,
category_highest_str,U21,,3,64710,Kadlec Vít,M,Tělovýchovná jednota Ostrava,2026,2363,
category_highest_str,U21,,1,84760,Tung-Chuan Chien,Z,"TT Moravský Krumlov, z.s.",2023,2146,
category_highest_str,U21,,2,85872,Chu Yi-Ching,Z,"TT Moravský Krumlov, z.s.",2025,2128,
category_highest_str,U21,,3,60643,Sawettabut Suthasini,Z,"Městský sportovní klub Břeclav stolní tenis, pobočný spolek",2013,2092,
category_highest_str,U19,,1,64710,Kadlec Vít,M,Tělovýchovná jednota Ostrava,2024,2342,
category_highest_str,U19,,2,64716,Šíp Martin,M,"SK Kotlářka, z.s.",2025,2337,
category_highest_str,U19,,3,42375,Polanský Tomáš,M,TJ Slavoj Severotuk Ústí n.L.,2016,2311,
category_highest_str,U19,,1,60643,Sawettabut Suthasini,Z,"Městský sportovní klub Břeclav stolní tenis, pobočný spolek",2013,2092,
category_highest_str,U19,,2,74016,Kodet Hanka,Z,Sportovní klub stolního tenisu Havířov z.s.,2026,2071,
category_highest_str,U19,,3,52519,Blašková Zdena,Z,"SK Dobré, z.s.",2020,2060,
category_highest_str,U17,,1,71590,Škalda Jan,M,"SK Dobré, z.s.",2026,2276,
category_highest_str,U17,,2,42375,Polanský Tomáš,M,TJ Slavoj Severotuk Ústí n.L.,2015,2253,
category_highest_str,U17,,3,39045,Reitšpies David,M,"SK Kotlářka, z.s.",2013,2249,
category_highest_str,U17,,1,74016,Kodet Hanka,Z,Sportovní klub stolního tenisu Havířov z.s.,2026,2071,
category_highest_str,U17,,2,68815,Poláková Veronika ml.,Z,"HB Ostrov , z.s.",2025,1992,
category_highest_str,U17,,3,57138,Sommerová Helena,Z,"SK Kotlářka, z.s.",2022,1937,
category_highest_str,U15,,1,71590,Škalda Jan,M,"SK Dobré, z.s.",2024,2157,
category_highest_str,U15,,2,74151,Morávek Ondřej,M,TJ Jiskra Strážnice z.s.,2026,2147,
category_highest_str,U15,,3,69006,Olejník Oliver,M,Sportovní klub stolního tenisu Havířov z.s.,2026,2098,
category_highest_str,U15,,1,74016,Kodet Hanka,Z,Sportovní klub stolního tenisu Havířov z.s.,2025,2048,
category_highest_str,U15,,2,52519,Blašková Zdena,Z,TTC Libín Prachatice z.s.,2015,1893,
category_highest_str,U15,,3,68815,Poláková Veronika ml.,Z,SKST Vlašim,2023,1887,
category_highest_str,U13,,1,71590,Škalda Jan,M,"SK Dobré, z.s.",2022,2008,
category_highest_str,U13,,2,55468,Bělík Šimon,M,"TT Club Ostrava, z.s.",2017,1946,
category_highest_str,U13,,3,74151,Morávek Ondřej,M,TJ Jiskra Strážnice z.s.,2024,1928,
category_highest_str,U13,,1,74016,Kodet Hanka,Z,"TJ Slavoj Praha, spolek",2023,1842,
category_highest_str,U13,,2,89817,Fazekas Lizett,Z,Klub stolního tenisu Olomouc z.s.,2025,1787,
category_highest_str,U13,,3,52519,Blašková Zdena,Z,TTC Libín Prachatice z.s.,2014,1759,
category_highest_str,U11,,1,55468,Bělík Šimon,M,Tělovýchovná jednota Ostrava,2015,1733,
category_highest_str,U11,,2,71590,Škalda Jan,M,"SK Dobré, z.s.",2020,1714,
category_highest_str,U11,,3,81172,Bednář Filip,M,"SK Kotlářka, z.s.",2025,1635,
category_highest_str,U11,,1,73366,Brhelová Adéla,Z,SKST Hodonín z.s.,2024,1586,
category_highest_str,U11,,2,57138,Sommerová Helena,Z,"SK Kotlářka, z.s.",2016,1547,
category_highest_str,U11,,3,52519,Blašková Zdena,Z,TTC Libín Prachatice z.s.,2012,1368,
mover,,800,1,73134,Drozd Daniel,M,"TT Club Ostrava, z.s.",2023,1559,689
mover,,800,2,82343,Novák Samuel Emil,M,"TSM Kladno, z.s.",2025,1617,672
mover,,800,3,75397,Černík Jan,M,TJ Jiskra Heřmanův Městec z.s.,2020,1534,633
mover,,800,1,74016,Kodet Hanka,Z,"TJ Slavoj Praha, spolek",2022,1609,506
mover,,800,2,75312,Müllerová Hana,Z,KST Slezan Opava z.s.,2022,1298,467
mover,,800,3,79019,Tonhauserová Nikola,Z,Sportovní klub stolního tenisu Chodov z. s.,2025,1372,438
mover,,1200,1,71386,Matuška Tomáš,M,"TJ Tatran Hostinné, spolek",2025,1647,425
mover,,1200,2,83224,Solfronk Adam,M,"TTC Moravská Slavia Brno, z.s.",2025,1623,417
mover,,1200,3,76165,Doušek Tomáš,M,SK Přerov,2022,1607,405
mover,,1200,1,80960,Schwarzová Ela,Z,TJ Šumavan Vimperk z.s.,2026,1586,314
mover,,1200,2,71211,Vožická Eliška,Z,"HB Ostrov , z.s.",2023,1525,309
mover,,1200,3,71686,Slámová Andrea,Z,"TSM Kladno, z.s.",2022,1557,297
mover,,1600,1,58253,Wasik Petr,M,"TJ Orion Praha, z.s.",2026,2108,325
mover,,1600,2,71593,Lebeda Lukáš,M,"TTC ELIZZA PRAHA, z.s.",2023,1933,265
mover,,1600,3,63326,Nechyba Radim,M,KST Apollo Ústí nad Labem z.s.,2022,1892,263
mover,,1600,1,74016,Kodet Hanka,Z,"TJ Slavoj Praha, spolek",2023,1842,233
